docId,filename,toptopics...
0,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample1_run1.txt,2,0.6680654187442677,4,0.16978207275699828,9,0.13222852101625332,0,0.02315047918109428,3,0.00403474164349711,6,9.339613186485044E-4,5,8.842655917204866E-4,1,4.1778719551344514E-4,8,2.6608930747208117E-4,7,2.366632445347125E-4
1,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample1_run2.txt,0,0.6519147566262663,2,0.2116650143979406,9,0.08075810017462945,6,0.04963032618188209,8,0.0037298171922070388,5,8.195841970037983E-4,4,6.194011083268269E-4,1,3.872273063199671E-4,3,2.564207824504366E-4,7,2.1935203297337812E-4
2,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample2_run1.txt,9,0.8862504761171613,2,0.0998599331175352,6,0.004188358934860621,4,0.003951201910402943,1,0.003727595607757909,5,7.893405303019657E-4,0,5.373526936091457E-4,3,2.4695853963486634E-4,8,2.3752487604887689E-4,7,2.1125767268694436E-4
3,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample2_run2.txt,3,0.5276826002289322,2,0.33048099996670177,4,0.08947699977325571,6,0.046761259251710374,7,0.0032597275926635316,5,7.215637519262034E-4,9,5.675909977440803E-4,0,4.912128679873278E-4,1,3.4091578268342064E-4,8,2.171297863953195E-4
4,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample3_run1.txt,5,0.48794273690090645,2,0.4548267038946817,4,0.03219883027112608,6,0.013440728603254171,0,0.006834004245341794,3,0.003396521041702529,9,5.855474519689626E-4,1,3.517010817290813E-4,8,2.2399895994768796E-4,7,1.992275493414298E-4
5,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample3_run2.txt,2,0.7286156243941567,3,0.14169948013677255,0,0.0822406618103575,5,0.02274585195189499,8,0.009653793842690788,6,0.007068751594741424,9,0.003725600263681879,4,0.0037027713212378654,1,3.4948977213455234E-4,7,1.9797491233165072E-4
6,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample4_run1.txt,8,0.7029881430534253,2,0.2796750242156307,4,0.007185337643691328,9,0.00390997931203313,7,0.0035070897153511985,6,8.199482412589824E-4,5,7.763191068621967E-4,0,5.284882090281901E-4,1,3.6678593571464136E-4,3,2.428845670042929E-4
7,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample4_run2.txt,6,0.5966656103976681,2,0.24087795208066692,5,0.1298781942936218,4,0.013829600024956255,8,0.013475334218487523,0,0.0038404762307198896,9,6.126836768528201E-4,1,3.6800008467684274E-4,3,2.4368857287324316E-4,7,2.084604194765652E-4
8,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample5_run1.txt,6,0.44403628818833124,2,0.4165980412429913,0,0.10081165968903895,5,0.036349240882531005,9,5.988082886761709E-4,4,5.753146256989259E-4,1,3.5966602222856634E-4,3,2.3816978125111514E-4,8,2.2907184280365883E-4,7,2.0373943644897379E-4
9,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample5_run2.txt,1,0.9839859569049312,2,0.012110685382703204,6,7.988626322861813E-4,5,7.563554551318429E-4,9,5.949585830516698E-4,4,5.716159595443419E-4,0,5.148977222613739E-4,3,2.3663860079852717E-4,8,2.2759915249804253E-4,7,2.0242960679353549E-4
10,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample6_run1.txt,8,0.7727237663018566,7,0.17872191040029445,2,0.038194794211067695,6,0.007298187218592794,5,7.637203292560372E-4,9,6.00751884393723E-4,4,5.771819663217912E-4,0,5.199114454857649E-4,1,3.608334164576908E-4,3,2.3894282627344335E-4
11,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample6_run2.txt,2,0.8190336590000856,1,0.14423651910172394,6,0.022469173905652288,0,0.0077678362214408875,5,0.004442027618780765,9,6.655595377888796E-4,4,6.394469542328444E-4,3,2.647193977144405E-4,8,2.546072803265743E-4,7,2.2645098225364949E-4
12,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample7_run1.txt,5,0.6049605000057393,9,0.19484518533955994,2,0.15738456367553244,6,0.029661011898310476,1,0.011187516237547488,4,6.394469542328444E-4,0,5.759982287827003E-4,3,2.647193977144405E-4,8,2.546072803265743E-4,7,2.2645098225364949E-4
13,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample7_run2.txt,5,0.5822487476769601,2,0.22022810384421995,6,0.10965414882181417,4,0.044808358278843635,1,0.030980572167910315,0,0.01074551518301863,9,6.293500679537456E-4,3,2.5031745693817226E-4,8,2.4075548478711195E-4,7,2.141310175540361E-4
14,file:/C:/Users/Suzi/Documents/GitHub/compmeth21/SAIGE%20Samples/temp2_sample8_run1.txt,7,0.987128257050948,2,0.005645446001523525,5,0.0039454628503320715,6,7.937595954098771E-4,9,5.911580603253812E-4,4,5.679645466446159E-4,0,5.116086185306043E-4,1,3.5507101702890264E-4,3,2.3512698233318967E-4,8,2.2614527692385366E-4
