docId,filename,0 nadja day work,1 day eyes night,2 man time woman,3 colour coloured towns,4 surrealism surrealist point,5 cynthia amie child,6 angle poetry exquisite,7 flowers miss lies,8 mr seller broom,9 rue idea mind
0,Aragon_ParisPeasant.txt,0.06455112233081238,0.06852982890576503,0.3740807940825753,0.04367579588409036,0.011821714379101372,2.476820794730297E-6,0.06675823779199393,0.002337724443875694,2.071413581847058E-6,0.3682402339474094
1,BretonSoupault_TheMagneticFields.txt,6.643957158530649E-4,0.3035297282264485,0.4178314704846257,0.26110043779088393,2.1635629310911395E-5,3.0824443233254324E-4,7.914735865148728E-4,0.0057019083958036966,0.0018011029171782632,0.008249602821048422
2,Breton_ManifestoesOfSurrealism.txt,0.14637316787960616,0.07868325763659673,0.4602821313894753,1.045228620940892E-5,0.2895048804121979,4.6816932753812975E-4,0.0062660531211226,8.027027794597684E-6,2.707785930960777E-6,0.018401153133528258
3,Breton_MiscellaneousPoetry.txt,4.7253816239756035E-4,0.46533011669508456,0.34545076804808306,2.1440598634661393E-4,1.534183435088981E-4,6.641523395523696E-5,0.1560860084260244,0.031954868134462994,5.554435668060039E-5,2.1591661345613143E-4
4,Breton_Nadja.txt,0.4730996881783138,0.008926905258043993,0.47715135837633477,0.012102031356654708,0.009984510647688344,7.349610314194163E-6,9.728656270525644E-4,1.822120047853586E-5,6.146622581050631E-6,0.01773092312253796
5,Breton_TheExquisiteCorpseItsExaltation.txt,0.1523755624835442,0.04842816097432909,0.4422460585334171,0.004121998022549299,0.06906306489275733,2.1487153864517742E-4,0.19300259312207801,5.327108806332029E-4,1.7970126237997026E-4,0.0898352782896666
6,BunuelDali_UnChienAndalou.txt,0.0021786380344838287,0.009910023180804722,0.9049695558612328,0.019776070823399924,0.0036918392107778497,5.582605830273974E-5,0.059051462997281645,1.3840431761342757E-4,4.668842236600845E-5,1.8149109373696113E-4
7,Crevel_Babylon.txt,0.0027411937411665997,0.1627229006899778,0.40056201548062176,1.299795090865165E-4,8.544707874248521E-6,0.43225909427634446,1.748694323748287E-5,9.170654055911328E-6,3.0935694587998704E-6,0.0015465204281763358
8,Desnos_ThePunishmentsOfHell.txt,3.3505424932488235E-4,0.07138047773577134,0.43268185248563357,0.002742167345538418,1.4077128188563498E-5,6.094028527997243E-6,2.8809169980176695E-5,0.4927865595521517,5.096555022436122E-6,1.9811749860838442E-5
9,Eluard_LettersToGala.txt,0.00763241718167322,0.7357300460397264,0.2298917835913628,6.824891556930119E-4,8.218195193909632E-5,3.557679896743609E-5,0.025711888941721404,8.820222551367979E-5,2.9753571488329713E-5,1.1566054191476178E-4
10,Eluard_ShadowAndSun.txt,3.183638297839679E-4,0.7111696265719125,0.2834304748775431,1.4445205990471668E-4,1.033627657727932E-4,4.474603306261265E-5,2.1153430222996773E-4,0.003680612243056101,3.7421980959169946E-5,8.59405335775014E-4
11,Peret_DeathToThePigs.txt,5.883099657136675E-4,0.08817682536065191,0.4107991236093469,1.8466538938483707E-5,0.0016560461494853893,5.720267072954597E-6,1.1831070113257456E-4,0.025295547073565624,0.473323053686593,1.8596647499418834E-5
